1,1.5849,2.5119,3.9811,6.3096,10,15.849,25.119,39.811,63.096
0.63096,1,1.5849,2.5119,3.9811,6.3096,10,15.849,25.119,39.811
0.39811,0.63096,1,1.5849,2.5119,3.9811,6.3096,10,15.849,25.119
0.25119,0.39811,0.63096,1,1.5849,2.5119,3.9811,6.3096,10,15.849
0.15849,0.25119,0.39811,0.63096,1,1.5849,2.5119,3.9811,6.3096,10
0.1,0.15849,0.25119,0.39811,0.63096,1,1.5849,2.5119,3.9811,6.3096
0.063096,0.1,0.15849,0.25119,0.39811,0.63096,1,1.5849,2.5119,3.9811
0.039811,0.063096,0.1,0.15849,0.25119,0.39811,0.63096,1,1.5849,2.5119
0.025119,0.039811,0.063096,0.1,0.15849,0.25119,0.39811,0.63096,1,1.5849
0.015849,0.025119,0.039811,0.063096,0.1,0.15849,0.25119,0.39811,0.63096,1
0.01,0.015849,0.025119,0.039811,0.063096,0.1,0.15849,0.25119,0.39811,0.63096
0.0063096,0.01,0.015849,0.025119,0.039811,0.063096,0.1,0.15849,0.25119,0.39811
0.0039811,0.0063096,0.01,0.015849,0.025119,0.039811,0.063096,0.1,0.15849,0.25119
0.0025119,0.0039811,0.0063096,0.01,0.015849,0.025119,0.039811,0.063096,0.1,0.15849
0.0015849,0.0025119,0.0039811,0.0063096,0.01,0.015849,0.025119,0.039811,0.063096,0.1
0.001,0.0015849,0.0025119,0.0039811,0.0063096,0.01,0.015849,0.025119,0.039811,0.063096
0.00063096,0.001,0.0015849,0.0025119,0.0039811,0.0063096,0.01,0.015849,0.025119,0.039811
0.00039811,0.00063096,0.001,0.0015849,0.0025119,0.0039811,0.0063096,0.01,0.015849,0.025119
0.00025119,0.00039811,0.00063096,0.001,0.0015849,0.0025119,0.0039811,0.0063096,0.01,0.015849
0.00015849,0.00025119,0.00039811,0.00063096,0.001,0.0015849,0.0025119,0.0039811,0.0063096,0.01
0.0001,0.00015849,0.00025119,0.00039811,0.00063096,0.001,0.0015849,0.0025119,0.0039811,0.0063096
6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811,0.00063096,0.001,0.0015849,0.0025119,0.0039811
3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811,0.00063096,0.001,0.0015849,0.0025119
2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811,0.00063096,0.001,0.0015849
1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811,0.00063096,0.001
1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811,0.00063096
6.3096e-06,1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119,0.00039811
3.9811e-06,6.3096e-06,1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849,0.00025119
2.5119e-06,3.9811e-06,6.3096e-06,1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001,0.00015849
1.5849e-06,2.5119e-06,3.9811e-06,6.3096e-06,1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05,0.0001
1e-06,1.5849e-06,2.5119e-06,3.9811e-06,6.3096e-06,1e-05,1.5849e-05,2.5119e-05,3.9811e-05,6.3096e-05
